DATE,TWEXBMTH
2000-01-01,115.2151
2000-02-01,116.6867
2000-03-01,116.6735
2000-04-01,117.3307
2000-05-01,119.9141
2000-06-01,118.7010
2000-07-01,118.9958
2000-08-01,119.8154
2000-09-01,121.2054
2000-10-01,122.9712
2000-11-01,123.9732
2000-12-01,122.9532
2001-01-01,122.8101
2001-02-01,123.5370
2001-03-01,125.5514
2001-04-01,126.5180
2001-05-01,126.3995
2001-06-01,127.2270
2001-07-01,127.6435
2001-08-01,125.5550
2001-09-01,125.8961
2001-10-01,126.7357
2001-11-01,127.2734
2001-12-01,127.3909
2002-01-01,128.8980
2002-02-01,129.6402
2002-03-01,128.9149
2002-04-01,128.5416
2002-05-01,126.9577
2002-06-01,125.5364
2002-07-01,123.8053
2002-08-01,125.1962
2002-09-01,126.0642
2002-10-01,127.0413
2002-11-01,125.7320
2002-12-01,125.0607
2003-01-01,123.5596
2003-02-01,123.3993
2003-03-01,122.8932
2003-04-01,121.9479
2003-05-01,117.9449
2003-06-01,117.3416
2003-07-01,118.4927
2003-08-01,119.8556
2003-09-01,118.6206
2003-10-01,116.1571
2003-11-01,116.0338
2003-12-01,114.4802
2004-01-01,112.6356
2004-02-01,113.0747
2004-03-01,114.2224
2004-04-01,115.0310
2004-05-01,116.8454
2004-06-01,115.7666
2004-07-01,114.9737
2004-08-01,115.1471
2004-09-01,114.7086
2004-10-01,113.0771
2004-11-01,110.1773
2004-12-01,108.9736
2005-01-01,109.5418
2005-02-01,109.7431
2005-03-01,109.1596
2005-04-01,110.0809
2005-05-01,110.5769
2005-06-01,111.6389
2005-07-01,112.1025
2005-08-01,110.6422
2005-09-01,110.5133
2005-10-01,111.5674
2005-11-01,112.3629
2005-12-01,111.6511
2006-01-01,110.1981
2006-02-01,110.3774
2006-03-01,110.5359
2006-04-01,109.7646
2006-05-01,107.5444
2006-06-01,108.7959
2006-07-01,108.5049
2006-08-01,107.8084
2006-09-01,108.0537
2006-10-01,108.3583
2006-11-01,107.4592
2006-12-01,106.6566
2007-01-01,107.6788
2007-02-01,107.2734
2007-03-01,106.7481
2007-04-01,105.4025
2007-05-01,104.4998
2007-06-01,104.2476
2007-07-01,102.9369
2007-08-01,103.4872
2007-09-01,102.1135
2007-10-01,100.0509
2007-11-01,98.6049
2007-12-01,99.4530
2008-01-01,98.6522
2008-02-01,97.8066
2008-03-01,95.8746
2008-04-01,95.5019
2008-05-01,95.8315
2008-06-01,96.0363
2008-07-01,95.3524
2008-08-01,97.8434
2008-09-01,100.1949
2008-10-01,106.8898
2008-11-01,109.5326
2008-12-01,108.3554
2009-01-01,109.0095
2009-02-01,111.7592
2009-03-01,112.2438
2009-04-01,109.4640
2009-05-01,106.3212
2009-06-01,104.9626
2009-07-01,104.5704
2009-08-01,103.3205
2009-09-01,102.5432
2009-10-01,101.0834
2009-11-01,100.6049
2009-12-01,101.0176
2010-01-01,101.3292
2010-02-01,102.7845
2010-03-01,101.9633
2010-04-01,101.4563
2010-05-01,104.2648
2010-06-01,104.8328
2010-07-01,103.2002
2010-08-01,102.3998
2010-09-01,101.3996
2010-10-01,98.7679
2010-11-01,99.0493
2010-12-01,99.7051
2011-01-01,98.5530
2011-02-01,97.8022
2011-03-01,96.8669
2011-04-01,95.2627
2011-05-01,95.2250
2011-06-01,95.1999
2011-07-01,94.5476
2011-08-01,95.0866
2011-09-01,97.9271
2011-10-01,98.8305
2011-11-01,99.4638
2011-12-01,100.4003
2012-01-01,99.7781
2012-02-01,98.0480
2012-03-01,98.6425
2012-04-01,98.9607
2012-05-01,100.6822
2012-06-01,102.1234
2012-07-01,101.6410
2012-08-01,100.7607
2012-09-01,99.1842
2012-10-01,98.8677
2012-11-01,99.5355
2012-12-01,98.9607
2013-01-01,98.8749
2013-02-01,99.6805
2013-03-01,100.5408
2013-04-01,100.1874
2013-05-01,100.6193
2013-06-01,101.4302
2013-07-01,101.9848
2013-08-01,101.8657
2013-09-01,101.6531
2013-10-01,100.6329
2013-11-01,101.5247
2013-12-01,101.7099
2014-01-01,102.6524
2014-02-01,102.9102
2014-03-01,102.8238
2014-04-01,102.4311
2014-05-01,102.1070
2014-06-01,102.2573
2014-07-01,102.0150
2014-08-01,102.9297
2014-09-01,104.4791
2014-10-01,105.8242
2014-11-01,107.6150
2014-12-01,110.2102
2015-01-01,112.5817
2015-02-01,114.0313
2015-03-01,116.1148
2015-04-01,114.9416
2015-05-01,114.0590
2015-06-01,114.9380
2015-07-01,116.9247
2015-08-01,119.1081
2015-09-01,120.0140
2015-10-01,118.9676
2015-11-01,120.7741
2015-12-01,121.9999
2016-01-01,124.6274
2016-02-01,123.6308
2016-03-01,121.1184
2016-04-01,119.1667
2016-05-01,120.4312
2016-06-01,120.8707
2016-07-01,121.6998
2016-08-01,120.5713
2016-09-01,121.5131
2016-10-01,122.6436
2016-11-01,125.5546
2016-12-01,127.5298
2017-01-01,127.3608
2017-02-01,125.5663
2017-03-01,125.0383
2017-04-01,124.1198
2017-05-01,123.6334
2017-06-01,122.0180
2017-07-01,120.3483
2017-08-01,119.0332
2017-09-01,117.9039
2017-10-01,120.0242
2017-11-01,120.2491
2017-12-01,119.9313
2018-01-01,117.1935
2018-02-01,117.5502
2018-03-01,118.0646
2018-04-01,118.1483
2018-05-01,121.4302
2018-06-01,123.4234
2018-07-01,124.0589
2018-08-01,125.3340
2018-09-01,126.0398
2018-10-01,126.8761
2018-11-01,128.2981
2018-12-01,128.5202
2019-01-01,126.7306
2019-02-01,126.8096
2019-03-01,127.2096
2019-04-01,127.3554
2019-05-01,128.7336
2019-06-01,128.2525
2019-07-01,127.8484
2019-08-01,130.3698
2019-09-01,130.7506
2019-10-01,130.1560
2019-11-01,129.9194
2019-12-01,129.3615
