Date,Open,High,Low,Close,Adj Close,Volume
2002-01-01,51.810001,52.209999,51.360001,51.650002,25.510468,0
2002-02-01,51.709999,52.810001,51.400002,52.650002,26.004377,0
2002-03-01,53.200001,55.799999,53.200001,55.480000,27.402138,0
2002-04-01,55.610001,58.400002,54.810001,55.820000,27.570074,0
2002-05-01,56.270000,56.820000,54.790001,56.549999,27.930613,0
2002-06-01,56.480000,57.369999,56.349998,57.369999,28.335625,0
2002-07-01,56.860001,56.860001,48.000000,54.360001,26.848963,0
2002-08-01,53.419998,54.470001,51.660000,54.470001,26.903299,0
2002-09-01,53.910000,54.169998,51.660000,51.660000,25.515394,0
2002-10-01,51.549999,51.549999,46.669998,49.119999,24.260864,0
2002-11-01,49.540001,51.400002,49.540001,51.400002,25.386995,0
2002-12-01,51.810001,51.810001,50.139999,50.500000,24.942472,0
2003-01-01,50.750000,51.680000,48.130001,49.139999,24.270744,0
2003-02-01,48.910000,49.990002,48.349998,49.990002,24.690573,0
2003-03-01,50.049999,52.160000,48.970001,50.500000,24.942472,0
2003-04-01,51.540001,53.880001,51.419998,52.590000,26.206135,0
2003-05-01,52.919998,56.340000,52.919998,55.490002,27.651236,0
2003-06-01,55.730000,57.830002,54.580002,56.000000,27.905373,0
2003-07-01,56.419998,59.000000,56.419998,58.910000,29.694382,0
2003-08-01,58.630001,59.250000,57.970001,59.250000,29.865761,0
2003-09-01,60.090000,60.980000,59.509998,60.330002,30.410154,0
2003-10-01,60.830002,62.779999,60.490002,61.330002,31.343386,0
2003-11-01,62.130001,63.970001,62.060001,63.970001,32.692604,0
2003-12-01,64.760002,65.660004,64.230003,64.760002,33.096321,0
2004-01-01,64.699997,67.559998,64.500000,67.559998,35.067795,0
2004-02-01,68.440002,69.360001,66.959999,68.660004,35.638760,0
2004-03-01,69.440002,71.830002,69.209999,71.830002,37.284180,0
2004-04-01,72.470001,72.470001,61.389999,61.389999,32.031906,0
2004-05-01,62.320000,65.709999,59.240002,65.709999,34.285992,0
2004-06-01,65.010002,67.580002,64.330002,66.669998,34.786900,0
2004-07-01,66.779999,69.150002,65.870003,67.019997,35.270020,0
2004-08-01,68.099998,72.290001,67.160004,72.290001,38.043427,0
2004-09-01,72.089996,73.580002,70.050003,71.279999,37.511898,0
2004-10-01,72.550003,75.449997,72.250000,75.099998,39.838181,0
2004-11-01,76.059998,79.349998,75.019997,78.230003,41.498550,0
2004-12-01,79.739998,81.000000,79.010002,80.150002,42.517036,0
2005-01-01,79.180000,79.180000,73.209999,73.389999,39.416069,0
2005-02-01,73.879997,77.849998,73.879997,75.500000,40.549332,0
2005-03-01,76.300003,78.230003,72.550003,73.440002,39.442951,0
2005-04-01,73.410004,77.709999,73.099998,77.709999,41.958893,0
2005-05-01,77.540001,81.570000,77.379997,80.230003,43.319542,0
2005-06-01,81.250000,84.970001,80.900002,83.279999,44.966362,0
2005-07-01,84.040001,89.220001,84.040001,89.120003,48.481754,0
2005-08-01,89.139999,89.870003,81.930000,85.769997,46.659328,0
2005-09-01,86.230003,87.970001,82.959999,85.279999,46.392757,0
2005-10-01,85.610001,85.610001,78.830002,83.279999,45.663212,0
2005-11-01,81.459999,87.809998,81.459999,86.830002,47.609711,0
2005-12-01,87.849998,87.900002,84.480003,84.480003,46.321163,0
2006-01-01,86.230003,90.820000,86.230003,90.820000,50.450001,0
2006-02-01,91.199997,93.440002,88.980003,92.500000,51.383247,0
2006-03-01,93.019997,98.070000,92.330002,96.449997,53.577438,0
2006-04-01,94.610001,94.650002,90.080002,92.940002,51.824333,0
2006-05-01,91.760002,93.959999,88.209999,90.339996,50.374512,0
2006-06-01,92.129997,94.120003,90.139999,94.120003,52.482307,0
2006-07-01,95.370003,97.959999,94.010002,97.430000,54.701786,0
2006-08-01,97.050003,101.089996,95.790001,101.040001,56.728626,0
2006-09-01,100.459999,103.629997,100.160004,102.019997,57.278831,0
2006-10-01,101.889999,108.279999,101.889999,108.279999,61.169285,0
2006-11-01,107.360001,113.370003,104.000000,113.339996,64.027802,0
2006-12-01,113.070000,114.529999,106.449997,109.150002,61.660786,0
2007-01-01,109.190002,118.459999,107.529999,118.459999,67.562210,0
2007-02-01,118.980003,123.440002,114.529999,115.610001,65.936745,0
2007-03-01,114.580002,115.040001,108.250000,112.209999,63.997608,0
2007-04-01,113.230003,115.279999,111.750000,112.190002,64.220306,0
2007-05-01,111.300003,112.410004,104.860001,112.059998,64.145912,0
2007-06-01,112.080002,112.580002,99.250000,100.459999,57.505768,0
2007-07-01,103.040001,104.389999,91.720001,92.660004,53.459988,0
2007-08-01,93.500000,98.889999,90.470001,98.669998,56.927444,0
2007-09-01,99.849998,103.419998,95.309998,101.809998,58.739052,0
2007-10-01,103.800003,108.320000,98.830002,103.040001,59.842770,0
2007-11-01,99.050003,99.050003,86.940002,93.470001,54.284771,0
2007-12-01,92.739998,97.889999,86.379997,87.250000,50.672367,0
2008-01-01,86.669998,87.800003,78.110001,86.940002,51.029102,0
2008-02-01,90.160004,90.160004,82.239998,83.720001,49.139133,0
2008-03-01,84.589996,91.860001,80.750000,88.440002,51.909542,0
2008-04-01,93.300003,96.589996,89.430000,93.680000,55.259842,0
2008-05-01,95.949997,97.059998,91.849998,93.800003,55.330631,0
2008-06-01,92.209999,95.629997,82.620003,82.620003,48.735771,0
2008-07-01,82.839996,88.419998,76.839996,85.190002,50.670654,0
2008-08-01,85.239998,90.639999,83.750000,87.139999,51.830517,0
2008-09-01,87.900002,92.690002,80.790001,85.930000,51.110809,0
2008-10-01,84.000000,84.000000,46.980000,59.099998,35.446735,0
